date,value
"['2016-06-08T00:00:00', 183]"
"['2016-06-09T00:00:00', 179]"
"['2016-06-10T00:00:00', 186]"
"['2016-06-11T00:00:00', 179]"
"['2016-06-12T00:00:00', 185]"
"['2016-06-13T00:00:00', 183]"
"['2016-06-14T00:00:00', 176]"
"['2016-06-15T00:00:00', 182]"
"['2016-06-16T00:00:00', 189]"
"['2016-06-17T00:00:00', 216]"
"['2016-06-18T00:00:00', 238]"
"['2016-06-19T00:00:00', 268]"
"['2016-06-20T00:00:00', 289]"
"['2016-06-21T00:00:00', 234]"
"['2016-06-22T00:00:00', 217]"
"['2016-06-23T00:00:00', 208]"
"['2016-06-24T00:00:00', 206]"
"['2016-06-25T00:00:00', 202]"
"['2016-06-26T00:00:00', 214]"
"['2016-06-27T00:00:00', 222]"
"['2016-06-28T00:00:00', 236]"
"['2016-06-29T00:00:00', 227]"
"['2016-06-30T00:00:00', 219]"
"['2016-07-01T00:00:00', 212]"
"['2016-07-02T00:00:00', 198]"
"['2016-07-03T00:00:00', 199]"
"['2016-07-04T00:00:00', 205]"
"['2016-07-05T00:00:00', 212]"
"['2016-07-06T00:00:00', 209]"
"['2016-07-07T00:00:00', 211]"
"['2016-07-08T00:00:00', 212]"
"['2016-07-09T00:00:00', 214]"
"['2016-07-10T00:00:00', 225]"
"['2016-07-11T00:00:00', 221]"
"['2016-07-12T00:00:00', 221]"
"['2016-07-13T00:00:00', 220]"
"['2016-07-14T00:00:00', 218]"
"['2016-07-15T00:00:00', 217]"
"['2016-07-16T00:00:00', 219]"
"['2016-07-17T00:00:00', 215]"
"['2016-07-18T00:00:00', 219]"
"['2016-07-19T00:00:00', 230]"
"['2016-07-20T00:00:00', 249]"
"['2016-07-21T00:00:00', 258]"
"['2016-07-22T00:00:00', 262]"
"['2016-07-23T00:00:00', 258]"
"['2016-07-24T00:00:00', 230]"
"['2016-07-25T00:00:00', 243]"
"['2016-07-26T00:00:00', 257]"
"['2016-07-27T00:00:00', 254]"
"['2016-07-28T00:00:00', 252]"
"['2016-07-29T00:00:00', 251]"
"['2016-07-30T00:00:00', 241]"
"['2016-07-31T00:00:00', 235]"
"['2016-08-01T00:00:00', 242]"
"['2016-08-02T00:00:00', 233]"
"['2016-08-03T00:00:00', 231]"
"['2016-08-04T00:00:00', 234]"
"['2016-08-05T00:00:00', 220]"
"['2016-08-06T00:00:00', 218]"
"['2016-08-07T00:00:00', 221]"
"['2016-08-08T00:00:00', 212]"
"['2016-08-09T00:00:00', 212]"
"['2016-08-10T00:00:00', 223]"
"['2016-08-11T00:00:00', 221]"
"['2016-08-12T00:00:00', 224]"
"['2016-08-13T00:00:00', 232]"
"['2016-08-14T00:00:00', 242]"
"['2016-08-15T00:00:00', 250]"
"['2016-08-16T00:00:00', 237]"
"['2016-08-17T00:00:00', 226]"
"['2016-08-18T00:00:00', 210]"
"['2016-08-19T00:00:00', 216]"
"['2016-08-20T00:00:00', 214]"
"['2016-08-21T00:00:00', 217]"
"['2016-08-22T00:00:00', 218]"
"['2016-08-23T00:00:00', 219]"
"['2016-08-24T00:00:00', 224]"
"['2016-08-25T00:00:00', 213]"
"['2016-08-26T00:00:00', 202]"
"['2016-08-27T00:00:00', 205]"
"['2016-08-28T00:00:00', 216]"
"['2016-08-29T00:00:00', 227]"
"['2016-08-30T00:00:00', 232]"
"['2016-08-31T00:00:00', 235]"
"['2016-09-01T00:00:00', 220]"
"['2016-09-02T00:00:00', 214]"
"['2016-09-03T00:00:00', 209]"
"['2016-09-04T00:00:00', 207]"
"['2016-09-05T00:00:00', 201]"
"['2016-09-06T00:00:00', 206]"
"['2016-09-07T00:00:00', 201]"
"['2016-09-08T00:00:00', 211]"
"['2016-09-09T00:00:00', 213]"
"['2016-09-10T00:00:00', 212]"
"['2016-09-11T00:00:00', 211]"
"['2016-09-12T00:00:00', 198]"
"['2016-09-13T00:00:00', 196]"
"['2016-09-14T00:00:00', 191]"
"['2016-09-15T00:00:00', 196]"
"['2016-09-16T00:00:00', 203]"
"['2016-09-17T00:00:00', 206]"
"['2016-09-18T00:00:00', 217]"
"['2016-09-19T00:00:00', 219]"
"['2016-09-20T00:00:00', 238]"
"['2016-09-21T00:00:00', 247]"
"['2016-09-22T00:00:00', 217]"
"['2016-09-23T00:00:00', 198]"
"['2016-09-24T00:00:00', 224]"
"['2016-09-25T00:00:00', 249]"
"['2016-09-26T00:00:00', 284]"
"['2016-09-27T00:00:00', 281]"
"['2016-09-28T00:00:00', 262]"
"['2016-09-29T00:00:00', 263]"
"['2016-09-30T00:00:00', 248]"
"['2016-10-01T00:00:00', 239]"
"['2016-10-02T00:00:00', 204]"
"['2016-10-03T00:00:00', 196]"
"['2016-10-04T00:00:00', 192]"
"['2016-10-05T00:00:00', 187]"
"['2016-10-06T00:00:00', 197]"
"['2016-10-07T00:00:00', 217]"
"['2016-10-08T00:00:00', 230]"
"['2016-10-09T00:00:00', 227]"
"['2016-10-10T00:00:00', 223]"
"['2016-10-11T00:00:00', 188]"
"['2016-10-12T00:00:00', 178]"
"['2016-10-13T00:00:00', 176]"
"['2016-10-14T00:00:00', 183]"
"['2016-10-15T00:00:00', 191]"
"['2016-10-16T00:00:00', 207]"
"['2016-10-17T00:00:00', 196]"
"['2016-10-18T00:00:00', 187]"
"['2016-10-19T00:00:00', 209]"
"['2016-10-20T00:00:00', 255]"
"['2016-10-21T00:00:00', 236]"
"['2016-10-22T00:00:00', 209]"
"['2016-10-23T00:00:00', 193]"
"['2016-10-24T00:00:00', 199]"
"['2016-10-25T00:00:00', 187]"
"['2016-10-26T00:00:00', 187]"
"['2016-10-27T00:00:00', 197]"
"['2016-10-28T00:00:00', 209]"
"['2016-10-29T00:00:00', 206]"
"['2016-10-30T00:00:00', 202]"
"['2016-10-31T00:00:00', 174]"
"['2016-11-01T00:00:00', 163]"
"['2016-11-02T00:00:00', 178]"
"['2016-11-03T00:00:00', 203]"
"['2016-11-04T00:00:00', 193]"
"['2016-11-05T00:00:00', 190]"
"['2016-11-06T00:00:00', 172]"
"['2016-11-07T00:00:00', 172]"
"['2016-11-08T00:00:00', 207]"
"['2016-11-09T00:00:00', 243]"
"['2016-11-10T00:00:00', 252]"
"['2016-11-11T00:00:00', 221]"
"['2016-11-12T00:00:00', 213]"
"['2016-11-13T00:00:00', 214]"
"['2016-11-14T00:00:00', 212]"
"['2016-11-15T00:00:00', 183]"
"['2016-11-16T00:00:00', 170]"
"['2016-11-17T00:00:00', 164]"
"['2016-11-18T00:00:00', 174]"
"['2016-11-19T00:00:00', 157]"
"['2016-11-20T00:00:00', 154]"
"['2016-11-21T00:00:00', 152]"
"['2016-11-22T00:00:00', 153]"
"['2016-11-23T00:00:00', 151]"
"['2016-11-24T00:00:00', 172]"
"['2016-11-25T00:00:00', 165]"
"['2016-11-26T00:00:00', 128]"
"['2016-11-27T00:00:00', 123]"
"['2016-11-28T00:00:00', 127]"
"['2016-11-29T00:00:00', 139]"
"['2016-11-30T00:00:00', 132]"
"['2016-12-01T00:00:00', 132]"
"['2016-12-02T00:00:00', 132]"
"['2016-12-03T00:00:00', 141]"
"['2016-12-04T00:00:00', 129]"
"['2016-12-05T00:00:00', 134]"
"['2016-12-06T00:00:00', 142]"
"['2016-12-07T00:00:00', 134]"
"['2016-12-08T00:00:00', 136]"
"['2016-12-09T00:00:00', 139]"
"['2016-12-10T00:00:00', 155]"
"['2016-12-11T00:00:00', 162]"
"['2016-12-12T00:00:00', 165]"
"['2016-12-13T00:00:00', 159]"
"['2016-12-14T00:00:00', 146]"
"['2016-12-15T00:00:00', 147]"
"['2016-12-16T00:00:00', 150]"
"['2016-12-17T00:00:00', 117]"
"['2016-12-18T00:00:00', 104]"
"['2016-12-19T00:00:00', 121]"
"['2016-12-20T00:00:00', 149]"
"['2016-12-21T00:00:00', 169]"
"['2016-12-22T00:00:00', 144]"
"['2016-12-23T00:00:00', 144]"
"['2016-12-24T00:00:00', 128]"
"['2016-12-25T00:00:00', 93]"
"['2016-12-26T00:00:00', 102]"
"['2016-12-27T00:00:00', 129]"
"['2016-12-28T00:00:00', 147]"
"['2016-12-29T00:00:00', 163]"
"['2016-12-30T00:00:00', 163]"
"['2016-12-31T00:00:00', 141]"
"['2017-01-01T00:00:00', 98]"
"['2017-01-02T00:00:00', 116]"
"['2017-01-03T00:00:00', 112]"
"['2017-01-04T00:00:00', 115]"
"['2017-01-05T00:00:00', 144]"
"['2017-01-06T00:00:00', 135]"
"['2017-01-07T00:00:00', 141]"
"['2017-01-08T00:00:00', 161]"
"['2017-01-09T00:00:00', 156]"
"['2017-01-10T00:00:00', 133]"
"['2017-01-11T00:00:00', 152]"
"['2017-01-12T00:00:00', 136]"
"['2017-01-13T00:00:00', 119]"
"['2017-01-14T00:00:00', 130]"
"['2017-01-15T00:00:00', 137]"
"['2017-01-16T00:00:00', 140]"
"['2017-01-17T00:00:00', 123]"
"['2017-01-18T00:00:00', 122]"
"['2017-01-19T00:00:00', 136]"
"['2017-01-20T00:00:00', 131]"
"['2017-01-21T00:00:00', 122]"
"['2017-01-22T00:00:00', 117]"
"['2017-01-23T00:00:00', 128]"
"['2017-01-24T00:00:00', 89]"
"['2017-01-25T00:00:00', 96]"
"['2017-01-26T00:00:00', 102]"
"['2017-01-27T00:00:00', 123]"
"['2017-01-28T00:00:00', 126]"
"['2017-01-29T00:00:00', 149]"
"['2017-01-30T00:00:00', 171]"
"['2017-01-31T00:00:00', 152]"
"['2017-02-01T00:00:00', 133]"
"['2017-02-02T00:00:00', 136]"
"['2017-02-03T00:00:00', 144]"
"['2017-02-04T00:00:00', 150]"
"['2017-02-05T00:00:00', 139]"
