Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Göteborg A;71420;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2020-10-10 00:00:01;2020-10-11 00:00:00;2020-10-10;10.1;Y
2020-10-11 00:00:01;2020-10-12 00:00:00;2020-10-11;9.0;Y
2020-10-12 00:00:01;2020-10-13 00:00:00;2020-10-12;10.0;Y
2020-10-13 00:00:01;2020-10-14 00:00:00;2020-10-13;9.2;Y
2020-10-14 00:00:01;2020-10-15 00:00:00;2020-10-14;7.4;Y
2020-10-15 00:00:01;2020-10-16 00:00:00;2020-10-15;7.6;Y
2020-10-16 00:00:01;2020-10-17 00:00:00;2020-10-16;6.8;Y
2020-10-17 00:00:01;2020-10-18 00:00:00;2020-10-17;6.5;Y
2020-10-18 00:00:01;2020-10-19 00:00:00;2020-10-18;5.6;Y
2020-10-19 00:00:01;2020-10-20 00:00:00;2020-10-19;4.8;Y
2020-10-20 00:00:01;2020-10-21 00:00:00;2020-10-20;9.3;Y
2020-10-21 00:00:01;2020-10-22 00:00:00;2020-10-21;12.0;Y
2020-10-22 00:00:01;2020-10-23 00:00:00;2020-10-22;12.2;Y
2020-10-23 00:00:01;2020-10-24 00:00:00;2020-10-23;10.8;Y
2020-10-24 00:00:01;2020-10-25 00:00:00;2020-10-24;10.7;Y
2020-10-25 00:00:01;2020-10-26 00:00:00;2020-10-25;12.2;Y
2020-10-26 00:00:01;2020-10-27 00:00:00;2020-10-26;11.3;Y
2020-10-27 00:00:01;2020-10-28 00:00:00;2020-10-27;10.1;Y
2020-10-28 00:00:01;2020-10-29 00:00:00;2020-10-28;10.5;Y
2020-10-29 00:00:01;2020-10-30 00:00:00;2020-10-29;9.4;Y
2020-10-30 00:00:01;2020-10-31 00:00:00;2020-10-30;7.2;Y
2020-10-31 00:00:01;2020-11-01 00:00:00;2020-10-31;11.1;Y
2020-11-01 00:00:01;2020-11-02 00:00:00;2020-11-01;12.1;Y
2020-11-02 00:00:01;2020-11-03 00:00:00;2020-11-02;14.4;Y
2020-11-03 00:00:01;2020-11-04 00:00:00;2020-11-03;11.2;Y
2020-11-04 00:00:01;2020-11-05 00:00:00;2020-11-04;9.3;Y
2020-11-05 00:00:01;2020-11-06 00:00:00;2020-11-05;11.6;Y
2020-11-06 00:00:01;2020-11-07 00:00:00;2020-11-06;12.3;Y
